fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2010-01-01,7.7,0.0,4.8,10.6,28.0,7.5,21.4,4.0,956.8,947.1
2010-01-02,7.2,0.0,3.9,10.6,29.0,1.9,4.7,1.2,961.0,956.7
2010-01-03,5.4,6.6,2.1,8.7,13.0,0.8,6.4,2.4,959.0,953.8
2010-01-04,9.9,4.9,7.4,12.4,19.0,2.8,6.9,0.3,953.8,940.4
2010-01-05,9.7,4.2,7.5,11.9,30.0,3.3,8.9,2.8,944.3,939.4
2010-01-06,6.6,3.5,4.8,8.3,30.0,3.1,9.4,1.4,947.3,942.7
2010-01-07,2.8,16.7,0.4,5.1,3.0,5.6,19.2,0.0,942.7,937.4
2010-01-08,1.4,0.0,-0.9,3.7,33.0,7.5,16.4,6.6,953.4,942.3
2010-01-09,0.6,0.0,-3.4,4.7,33.0,1.7,12.8,5.3,957.6,953.4
2010-01-10,-1.8,4.4,-4.1,0.6,9.0,2.8,7.5,0.6,957.2,952.1
2010-01-11,0.4,4.2,-2.4,3.1,11.0,1.9,6.1,0.2,961.2,951.7
2010-01-12,4.5,8.0,1.5,7.5,29.0,2.5,9.7,0.0,960.5,946.4
2010-01-13,7.2,3.8,2.4,12.1,25.0,1.4,14.7,0.0,955.5,942.4
2010-01-14,9.0,0.0,5.5,12.5,26.0,10.8,24.4,8.3,958.9,940.9
2010-01-15,7.2,0.0,3.4,11.0,11.0,1.7,5.8,4.4,964.6,958.7
2010-01-16,9.0,0.1,6.4,11.6,1.0,1.4,4.2,0.1,964.6,961.7
2010-01-17,11.2,0.0,7.0,15.4,27.0,2.2,6.1,0.7,964.3,962.0
2010-01-18,9.6,0.0,4.8,14.5,26.0,2.5,6.1,2.7,962.8,958.7
2010-01-19,11.0,2.2,8.2,13.9,29.0,3.3,12.8,0.6,960.2,957.8
2010-01-20,9.1,0.0,5.7,12.5,28.0,4.2,12.5,3.3,963.5,959.8
2010-01-21,6.3,0.0,1.7,10.9,12.0,1.4,2.8,2.3,963.9,961.7
2010-01-22,5.4,4.2,1.1,9.7,11.0,2.2,5.6,1.7,962.8,957.4
2010-01-23,9.8,0.0,5.8,13.9,12.0,4.2,9.7,4.0,957.6,954.0
2010-01-24,9.0,0.0,5.6,12.3,12.0,2.2,9.7,3.6,962.6,956.9
2010-01-25,5.8,8.1,1.6,10.1,11.0,4.2,10.0,6.5,963.0,958.1
